strain,temp,stress
0.4200969,0.333333333,0.835579745
0.86029003,0.5,0.623570234
0.01589892,1.0,0.277684278
0.549077095,0.833333333,0.324800014
0.567334595,0.5,0.685952828
0.74520432,1.0,0.095983392
0.63930822,0.333333333,0.730061288
0.07208335,0.333333333,0.801569996
0.24736401,1.0,0.241607224
0.048768215,0.066666667,0.825124371
0.073797075,0.333333333,0.802031179
0.20197531,0.066666667,0.881480787
0.014890935,0.833333333,0.383079832
0.01653228,0.333333333,0.66127496
0.11609716,1.0,0.26465214
0.71439112,0.5,0.668565358
0.392547905,1.0,0.219474533
0.501048125,0.5,0.694353829
0.01509353,1.0,0.277285086
0.1164624,0.833333333,0.426772769
8.1e-05,0.333333333,-0.002055634
0.27199639,0.066666667,0.89774589
0.069099635,0.833333333,0.440787758
0.19494976,0.5,0.72061197
0.089106835,0.5,0.717428463
0.18316642,0.5,0.721131344
0.77292356,0.5,0.656960181
0.356309625,0.066666667,0.908966369
0.654669935,1.0,0.151089381
0.21762785,0.066666667,0.885928152
0.05791568,0.833333333,0.444085542
0.358411585,0.833333333,0.374035601
0.06862822,0.333333333,0.800563066
0.59841329,0.333333333,0.794487733
0.639317135,0.5,0.678926965
0.14037702,0.5,0.720963322
0.185413545,0.066666667,0.876508528
0.570930775,1.0,0.181387279
0.825315495,0.5,0.6415767
0.004872835,0.333333333,0.24020051
0.41792776,0.333333333,0.835546227
0.494283935,0.333333333,0.829033691
0.28633065,1.0,0.235689466
0.631337115,0.5,0.679626255
0.36277195,0.833333333,0.372945511
0.2217162,1.0,0.245562131
-0.00181367,0.833333333,0.000369352
0.016886765,0.066666667,0.589038135
0.270696695,0.833333333,0.39157427
0.20072741,0.333333333,0.834816964
0.21761426,0.333333333,0.83747527
0.117956385,0.333333333,0.816420706
0.474379755,0.5,0.697351447
0.268553385,1.0,0.237747635
0.046775715,0.833333333,0.447409263
0.659257445,0.5,0.676287391
0.36548555,0.5,0.708750015
0.174636265,0.066666667,0.872981492
0.922898245,0.5,0.560352665
0.15030683,0.5,0.721628715
0.007304565,1.0,0.243437528
0.289443625,1.0,0.235266392
0.52693589,0.066666667,0.795532128
0.46114356,0.833333333,0.351130349
0.179822815,0.333333333,0.831350965
0.74915439,0.833333333,0.199991446
0.8037604,0.5,0.649091978
0.34053342,0.333333333,0.84017692
0.33013515,0.333333333,0.840163223
0.105879005,0.833333333,0.429238494
0.40253544,0.5,0.70476652
0.10135511,0.333333333,0.811506895
0.189552075,0.833333333,0.407880391
0.512953485,1.0,0.196870701
0.685851165,0.833333333,0.253416158
0.781031515,0.833333333,0.131178403
0.570692865,0.333333333,0.814286549
0.25118847,0.333333333,0.83983387
0.488168215,0.5,0.695863288
0.523211305,1.0,0.19454654
0.01999487,0.5,0.681852083
0.00194402,0.066666667,0.01497768
0.35205087,0.066666667,0.908546139
0.365453375,0.333333333,0.838750734
0.003887235,0.5,0.151662098
0.535119855,1.0,0.191570986
0.72494265,0.833333333,0.222289536
0.81046653,0.5,0.646750938
0.02281649,0.833333333,0.423109688
0.477826345,0.5,0.697001397
0.485642635,0.066666667,0.850586912
0.601697245,0.833333333,0.303914176
0.01039965,0.333333333,0.451603603
0.81318087,0.5,0.645809095
0.12567462,0.833333333,0.42359042
0.01106455,0.833333333,0.322514736
0.008045515,0.833333333,0.251039621
0.25890472,0.333333333,0.840069389
0.643324365,0.833333333,0.281769585
0.232815135,0.066666667,0.889433932
0.043075875,1.0,0.277911271
0.329203035,1.0,0.229054701
0.93217467,0.5,0.545739969
0.581389375,0.333333333,0.808425109
0.275362865,0.5,0.716591063
0.136762295,0.5,0.721005287
0.34002112,0.5,0.711192524
0.74979002,0.5,0.662479235
0.21930406,0.066666667,0.886384147
0.23916031,0.333333333,0.838989876
0.151443785,1.0,0.257764635
0.03350975,0.333333333,0.789157088
0.45962215,0.5,0.698852889
0.360790405,1.0,0.224673825
0.025041715,0.066666667,0.787511602
0.01115615,0.5,0.428577848
0.234107275,0.5,0.719049886
0.490622965,0.333333333,0.829518763
0.382230375,0.333333333,0.838238034
0.010849165,0.833333333,0.318590963
0.460901605,0.333333333,0.831887865
0.440849865,0.333333333,0.833880361
0.017096195,0.066666667,0.596900524
-0.001715445,0.833333333,-1.32e-05
0.053426925,0.833333333,0.445557014
0.663198215,0.333333333,0.0
0.26093758,0.5,0.717783594
0.005992115,0.333333333,0.278826078
0.263260745,0.333333333,0.840548142
0.03771411,0.066666667,0.820106296
0.64694273,0.333333333,0.711023552
0.547379125,0.833333333,0.325561716
0.548800435,1.0,0.187880575
0.15912284,0.333333333,0.826950674
0.94568644,0.5,0.521091167
0.641419715,0.333333333,0.724774702
0.18888668,0.066666667,0.877658506
0.25222315,0.066666667,0.893961435
0.057786185,0.066666667,0.82911687
0.59074965,0.333333333,0.802075918
0.01411994,0.5,0.528537023
0.17395248,0.5,0.721515519
-0.00133185,0.833333333,-0.000554079
0.289466795,0.066666667,0.900894488
0.35307512,0.066666667,0.90874347
0.450854845,0.333333333,0.832912981
0.663646585,0.833333333,0.268932033
0.83974478,0.5,0.635182265
0.45195949,0.333333333,0.832695134
0.39645106,0.833333333,0.36631849
0.67365534,0.833333333,0.262212832
0.24800012,0.833333333,0.395722034
0.144829875,0.5,0.720814704
0.488163735,0.333333333,0.829767072
0.15927769,0.833333333,0.415274166
0.414295385,0.5,0.703776471
0.16241802,0.066666667,0.86882857
0.348088045,0.066666667,0.908215683
0.584948965,0.833333333,0.311516789
0.476098815,0.333333333,0.830832973
0.01103643,0.333333333,0.476388338
0.44172567,0.5,0.700771115
0.007220275,0.833333333,0.231657957
0.712009115,0.833333333,0.231709629
0.25808114,0.5,0.718075142
0.258638475,0.833333333,0.393302055
0.0759975,0.833333333,0.438782115
0.302518205,0.333333333,0.841154517
0.028844735,0.066666667,0.806548574
0.272200105,0.333333333,0.841232358
0.482342285,0.5,0.696331387
0.167368385,0.066666667,0.870545302
0.67782336,0.5,0.673707693
0.589412905,0.333333333,0.803048084
0.24427939,1.0,0.242037547
0.22356289,0.333333333,0.837812359
0.11992081,0.833333333,0.425719103
0.244668515,0.5,0.718855834
0.005376815,1.0,0.204571686
0.000108,0.333333333,-0.001744061
0.778590425,0.833333333,0.140037077
0.062183735,0.066666667,0.831009625
0.70588357,1.0,0.123913593
0.82665595,0.5,0.640996968
0.186285615,0.066666667,0.876852402
0.963565395,0.5,0.0
0.037230685,1.0,0.278576446
0.219839045,0.833333333,0.40191348
0.85892451,1.0,9.32e-05
0.308807295,0.833333333,0.383679417
